Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Christian Vazquez,MIN,C,32,15,47,6,14,3,0,0,4,0,0,6,13,0,0,0,0.298,0.377,0.362,0.739
Conner Capel,OAK,OF,25,19,47,3,14,3,0,0,3,4,2,4,17,0,0,0,0.298,0.353,0.362,0.715
Jack Suwinski,PIT,OF,24,16,47,7,12,3,0,5,12,2,0,11,17,0,2,0,0.255,0.383,0.638,1.021
Jake Meyers,HOU,OF,26,18,47,5,13,2,0,1,6,0,1,5,14,0,0,0,0.277,0.346,0.383,0.729
Anthony Rendon,LAA,3B,32,14,46,6,10,1,0,0,9,0,0,9,6,0,3,1,0.217,0.339,0.239,0.578
Brandon Belt,TOR,1B,35,13,46,3,8,4,0,1,5,0,0,4,23,0,0,0,0.174,0.24,0.326,0.566
Nick Ahmed,ARI,SS,33,14,46,5,14,3,0,1,7,3,0,0,8,0,0,0,0.304,0.304,0.435,0.739
Orlando Arcia,ATL,2B,28,13,45,10,15,2,0,2,7,0,0,4,10,0,0,1,0.333,0.4,0.511,0.911
Chris Taylor,LAD,OF,32,16,45,6,5,0,0,4,7,1,0,5,21,0,1,0,0.111,0.196,0.378,0.574
Kevin Newman,CIN,SS,29,14,45,5,9,1,0,2,7,0,0,1,8,0,1,1,0.2,0.229,0.356,0.585
Geraldo Perdomo,ARI,SS,23,17,45,11,16,5,1,1,11,1,0,5,12,2,0,1,0.356,0.431,0.578,1.009
David Hensley,HOU,DH,27,15,45,7,7,0,0,0,2,1,0,7,17,0,0,0,0.156,0.269,0.156,0.425
Will Brennan,CLE,OF,25,18,44,6,11,4,0,0,8,1,0,3,7,0,1,1,0.25,0.306,0.341,0.647
Blake Sabol,SF,C,25,15,44,4,9,0,0,3,6,1,0,1,20,0,0,2,0.205,0.255,0.409,0.664
Dylan Carlson,STL,OF,24,15,44,5,9,3,0,0,3,1,0,3,11,0,0,0,0.205,0.255,0.273,0.528
Brent Rooker,OAK,OF,28,15,44,6,14,1,0,4,11,0,0,8,9,0,1,0,0.318,0.415,0.614,1.029
Jose Trevino,NYY,C,30,13,44,4,9,2,0,1,7,0,0,2,8,0,0,0,0.205,0.239,0.318,0.557
Mike Zunino,CLE,C,32,15,44,6,11,6,0,1,4,0,0,10,19,0,0,1,0.25,0.4,0.455,0.855
Christian Bethancourt,TB,C,31,13,44,10,12,4,0,4,7,0,0,5,12,0,0,0,0.273,0.347,0.636,0.983
Franchy Cordero,NYY,OF,28,14,43,6,8,1,0,4,11,0,0,2,13,0,0,0,0.186,0.222,0.488,0.71
Franmil Reyes,KC,DH,27,14,42,5,11,0,0,2,6,0,0,4,18,0,1,0,0.262,0.319,0.405,0.724
Rob Refsnyder,BOS,OF,32,17,42,7,9,1,0,1,8,0,0,8,11,0,0,1,0.214,0.353,0.31,0.663
Matt Carpenter,SD,DH,37,18,42,5,10,4,0,3,13,0,0,9,14,0,1,1,0.238,0.377,0.548,0.925
Nicky Lopez,KC,SS,28,19,42,5,7,3,1,0,5,1,0,7,10,1,0,2,0.167,0.314,0.286,0.6
Taylor Walls,TB,SS,26,14,42,16,14,3,1,3,8,2,0,7,8,0,0,1,0.333,0.44,0.667,1.107
Kevin Smith,OAK,3B,26,13,41,3,7,1,0,0,2,1,0,0,16,1,0,0,0.171,0.171,0.195,0.366
Nick Madrigal,CHC,2B,26,16,41,5,12,2,1,0,4,2,2,2,2,0,0,0,0.293,0.326,0.39,0.716
Tomas Nido,NYM,C,29,14,41,4,5,0,0,0,1,0,0,2,13,0,1,0,0.122,0.159,0.122,0.281
Edmundo Sosa,PHI,SS,27,16,41,2,13,3,0,2,6,0,1,1,14,0,1,1,0.317,0.341,0.537,0.878
Yu Chang,BOS,3B,27,16,41,5,6,0,0,3,8,1,0,1,11,1,0,1,0.146,0.186,0.366,0.552
Sam Hilliard,ATL,OF,29,16,41,8,13,4,0,1,2,3,0,6,20,0,0,0,0.317,0.404,0.488,0.892
Danny Jansen,TOR,C,28,14,40,2,6,1,0,1,8,0,0,5,10,0,0,0,0.15,0.244,0.25,0.494
Tommy Pham,NYM,OF,35,17,40,3,9,1,0,2,7,2,0,6,8,0,1,0,0.225,0.319,0.4,0.719
Daniel Vogelbach,NYM,DH,30,17,40,5,10,2,0,1,8,0,0,11,10,0,0,0,0.25,0.412,0.375,0.787
Max Kepler,MIN,OF,30,12,40,5,7,3,0,2,4,0,0,2,9,0,1,2,0.175,0.244,0.4,0.644
Chas McCormick,HOU,OF,28,11,40,7,11,3,0,2,9,4,0,6,12,1,0,1,0.275,0.383,0.5,0.883
Nick Fortes,MIA,C,26,14,39,3,7,0,0,1,3,0,0,2,12,0,0,0,0.179,0.22,0.256,0.476
Zach McKinstry,DET,2B,27,15,39,6,10,3,0,2,4,2,1,3,12,1,0,0,0.256,0.31,0.487,0.797
Will Smith,LAD,C,28,11,39,9,13,3,0,3,12,0,0,7,4,0,2,0,0.333,0.417,0.641,1.058
Jake Burger,CWS,3B,27,14,39,6,9,3,0,5,10,0,0,5,16,0,1,1,0.231,0.326,0.692,1.018
Travis Jankowski,TEX,OF,31,15,39,9,13,3,1,0,5,3,1,6,7,0,0,0,0.333,0.422,0.462,0.884
Jason Heyward,LAD,OF,33,17,39,7,7,1,0,3,5,0,0,6,9,0,1,0,0.179,0.283,0.436,0.719
Josh Harrison,PHI,2B,35,16,39,4,9,1,0,1,5,0,0,1,9,0,0,2,0.231,0.286,0.333,0.619
AJ Pollock,SEA,OF,35,13,39,2,5,2,0,2,8,0,0,3,12,0,1,0,0.128,0.186,0.333,0.519
Corey Seager,TEX,SS,28,11,39,7,14,4,0,1,4,0,0,9,7,0,1,0,0.359,0.469,0.538,1.007
Yoan Moncada,CWS,3B,27,9,39,4,12,4,0,2,5,0,0,1,10,0,0,0,0.308,0.325,0.564,0.889
Luis Guillorme,NYM,2B,28,16,38,7,10,1,0,0,2,0,0,7,7,0,0,0,0.263,0.378,0.289,0.667
Jake Lamb,LAA,OF,32,13,38,3,8,1,0,0,2,0,0,3,10,0,0,0,0.211,0.268,0.237,0.505
Evan Longoria,ARI,3B,37,12,38,7,10,2,0,2,4,0,0,3,9,0,1,0,0.263,0.31,0.474,0.784
Kevin Pillar,ATL,OF,34,12,38,3,8,1,0,1,3,0,0,2,12,0,0,0,0.211,0.25,0.316,0.566
Harold Castro,COL,2B,29,15,38,3,6,0,0,0,5,0,0,0,8,0,2,0,0.158,0.15,0.158,0.308
Alan Trejo,COL,SS,26,17,38,2,9,3,0,0,3,0,0,1,9,1,0,0,0.237,0.256,0.316,0.572
Ezequiel Duran,TEX,3B,23,14,38,4,10,2,0,1,6,0,1,1,12,0,0,0,0.263,0.282,0.395,0.677
Josh Smith,TEX,OF,25,18,37,8,6,0,0,0,0,0,0,8,14,1,0,6,0.162,0.392,0.162,0.554
Miguel Cabrera,DET,DH,40,11,37,0,7,3,0,0,3,0,0,2,9,0,0,0,0.189,0.231,0.27,0.501
Luke Voit,MIL,1B,32,10,37,5,10,1,0,0,4,1,0,1,11,0,0,0,0.27,0.289,0.297,0.586
Trayce Thompson,LAD,OF,32,15,37,7,7,0,0,4,11,0,0,5,18,0,0,1,0.189,0.302,0.514,0.816
Jose Azocar,SD,OF,26,18,37,6,9,2,0,0,1,4,0,1,7,2,0,0,0.243,0.263,0.297,0.56
Yuli Gurriel,MIA,1B,38,10,36,3,10,1,0,1,3,0,0,3,5,0,0,0,0.278,0.333,0.389,0.722
Reese McGuire,BOS,C,28,14,36,4,13,4,0,0,4,0,0,1,10,0,0,0,0.361,0.378,0.472,0.85
Cavan Biggio,TOR,2B,28,13,36,4,4,0,0,1,1,1,0,3,14,0,0,1,0.111,0.2,0.194,0.394
Joc Pederson,SF,OF,31,11,36,4,9,2,1,2,10,0,0,7,13,0,1,0,0.25,0.364,0.528,0.892
Gabriel Arias,CLE,3B,23,15,36,1,6,1,0,1,1,0,1,4,18,0,0,0,0.167,0.25,0.278,0.528
Akil Baddoo,DET,OF,24,13,36,4,8,1,0,0,0,2,0,5,11,1,0,0,0.222,0.317,0.25,0.567
Santiago Espinal,TOR,2B,28,13,35,3,4,0,0,1,4,0,1,2,4,0,0,1,0.114,0.184,0.2,0.384
Jacob Stallings,MIA,C,33,11,35,3,5,3,0,0,2,0,0,4,12,0,0,0,0.143,0.231,0.229,0.46
Brad Miller,TEX,OF,33,12,35,5,7,1,0,1,4,0,0,6,5,0,0,0,0.2,0.317,0.314,0.631
Stuart Fairchild,CIN,OF,27,19,35,8,7,1,1,1,4,1,2,7,14,1,1,2,0.2,0.356,0.371,0.727
Jason Delay,PIT,C,28,11,35,4,11,3,0,1,4,0,0,3,5,0,0,0,0.314,0.368,0.486,0.854
Matt Duffy,KC,3B,32,13,35,4,13,2,0,1,4,0,0,2,8,0,0,0,0.371,0.405,0.514,0.919
Joey Gallo,MIN,OF,29,12,34,7,8,1,0,5,11,0,0,6,13,0,0,0,0.235,0.35,0.706,1.056
Seiya Suzuki,CHC,OF,28,9,34,5,11,1,0,1,6,0,1,6,11,0,0,1,0.324,0.439,0.441,0.88
Isiah Kiner-Falefa,NYY,SS,28,16,34,3,6,0,0,0,2,3,0,2,4,0,0,0,0.176,0.222,0.176,0.398
Leody Taveras,TEX,OF,24,10,34,8,9,3,1,0,4,1,1,1,6,0,0,1,0.265,0.306,0.412,0.718
Lenyn Sosa,CWS,2B,23,11,34,2,5,1,0,1,2,0,0,1,8,0,0,0,0.147,0.171,0.265,0.436
Vaughn Grissom,ATL,2B,22,9,33,0,9,1,0,0,3,0,1,1,4,0,0,1,0.273,0.314,0.303,0.617
Francisco Mejia,TB,C,27,11,33,6,8,2,0,0,4,0,0,4,11,0,1,0,0.242,0.316,0.303,0.619
Nick Senzel,CIN,OF,27,10,33,5,5,1,0,0,2,1,0,3,8,0,0,0,0.152,0.222,0.182,0.404
Gavin Sheets,CWS,OF,27,13,33,5,10,0,0,2,7,0,0,6,5,0,0,0,0.303,0.41,0.485,0.895
Adam Duvall,BOS,OF,34,8,33,11,15,5,1,4,14,0,0,3,5,0,0,1,0.455,0.514,1.03,1.544
Mike Moustakas,COL,3B,34,15,33,6,6,3,0,1,7,0,0,7,13,0,3,0,0.182,0.302,0.364,0.666
Travis d'Arnaud,ATL,C,34,8,33,3,11,3,0,0,5,0,0,0,5,0,0,0,0.333,0.333,0.424,0.757
Miguel Rojas,LAD,SS,34,11,32,1,4,1,0,0,0,0,0,3,6,0,0,0,0.125,0.2,0.156,0.356
Jonathan Schoop,DET,2B,31,13,32,2,6,0,0,0,0,0,0,4,8,0,0,0,0.188,0.278,0.188,0.466
Austin Barnes,LAD,C,33,11,32,3,2,0,0,0,0,1,0,3,9,0,0,0,0.063,0.143,0.063,0.206
Ji-Man Choi,PIT,1B,31,9,32,3,4,1,0,2,2,0,0,0,15,0,0,0,0.125,0.125,0.344,0.469
Canaan Smith-Njigba,PIT,OF,23,14,32,3,4,1,1,0,5,1,0,4,16,0,1,0,0.125,0.216,0.219,0.435
Oneil Cruz,PIT,SS,24,9,32,7,8,1,0,1,4,3,0,7,8,0,1,0,0.25,0.375,0.375,0.75
Mike Brosseau,MIL,3B,29,12,31,2,7,2,0,2,6,0,0,4,8,0,0,0,0.226,0.314,0.484,0.798
Jackie Bradley,KC,OF,33,14,31,3,4,1,0,0,1,0,0,3,8,0,0,1,0.129,0.229,0.161,0.39
Kyle Farmer,MIN,SS,32,11,31,6,7,1,0,1,5,0,0,2,11,0,1,1,0.226,0.286,0.355,0.641
Jake Rogers,DET,C,28,12,31,4,8,2,0,2,5,0,1,6,12,0,0,1,0.258,0.395,0.516,0.911
Austin Hedges,PIT,C,30,11,30,3,5,1,0,0,2,1,0,2,6,3,0,0,0.167,0.219,0.2,0.419
Rougned Odor,SD,2B,29,13,30,3,3,2,0,0,2,0,0,4,11,0,0,0,0.1,0.206,0.167,0.373
Kyle Higashioka,NYY,C,33,9,30,3,5,0,0,2,4,0,0,1,13,0,0,0,0.167,0.194,0.367,0.561
Seth Brown,OAK,OF,30,8,30,2,6,2,0,1,2,1,0,2,8,0,0,0,0.2,0.25,0.367,0.617
Joey Bart,SF,C,26,11,30,4,9,1,0,0,0,0,0,1,8,0,0,3,0.3,0.382,0.333,0.715
Zach Neto,LAA,SS,22,9,30,2,6,2,0,0,1,0,0,0,7,0,0,5,0.2,0.314,0.267,0.581
Mark Mathias,PIT,DH,28,8,28,3,8,1,0,0,4,1,0,3,6,0,0,0,0.286,0.355,0.321,0.676
Owen Miller,MIL,2B,26,12,28,3,8,2,0,0,2,3,0,1,5,0,0,0,0.286,0.31,0.357,0.667
Ryan Jeffers,MIN,C,25,9,28,5,9,2,1,1,3,0,0,3,10,0,0,1,0.321,0.406,0.571,0.977
Pavin Smith,ARI,OF,27,11,28,7,9,3,0,2,10,0,0,7,8,0,0,0,0.321,0.457,0.643,1.1
Stone Garrett,WAS,OF,27,8,28,6,11,3,0,1,5,0,0,3,8,0,0,0,0.393,0.452,0.607,1.059
Willi Castro,MIN,2B,25,14,27,4,5,2,0,1,3,0,1,1,7,0,0,2,0.185,0.267,0.37,0.637
Jesus Sanchez,MIA,OF,25,14,27,2,4,2,0,0,0,2,0,6,10,0,0,1,0.148,0.324,0.222,0.546
Edouard Julien,MIN,2B,23,8,27,4,6,0,0,2,4,0,0,1,9,1,0,1,0.222,0.276,0.444,0.72
Seby Zavala,CWS,C,29,10,27,4,6,1,0,1,2,1,0,1,7,0,0,0,0.222,0.25,0.37,0.62
Francisco Alvarez,NYM,DH,21,8,27,2,4,0,0,1,2,0,0,0,9,0,0,0,0.148,0.148,0.259,0.407
Romy Gonzalez,CWS,2B,26,14,26,1,3,0,0,0,0,1,0,0,10,0,0,0,0.115,0.115,0.115,0.23
Heliot Ramos,SF,OF,23,9,26,1,5,2,0,0,1,0,0,1,8,0,0,0,0.192,0.222,0.269,0.491
Garrett Hampson,MIA,2B,28,11,26,4,7,2,0,1,4,2,0,1,10,0,0,1,0.269,0.321,0.462,0.783
Tom Murphy,SEA,C,32,8,26,0,2,1,0,0,0,0,0,0,11,0,0,0,0.077,0.077,0.115,0.192
Carlos Perez,OAK,C,32,13,26,3,10,1,0,1,4,0,0,1,6,0,1,1,0.385,0.414,0.538,0.952
Tucker Barnhart,CHC,C,32,10,25,1,5,0,0,0,1,0,0,1,8,0,1,1,0.2,0.25,0.2,0.45
Bubba Thompson,TEX,OF,24,13,25,4,4,3,1,0,3,0,0,0,6,1,0,0,0.16,0.16,0.36,0.52
Lars Nootbaar,STL,OF,25,8,25,7,7,0,0,2,4,1,0,11,8,0,0,0,0.28,0.5,0.52,1.02
Nate Eaton,KC,OF,26,12,25,1,1,0,0,0,0,2,0,0,13,0,0,0,0.04,0.04,0.04,0.08
Aaron Hicks,NYY,OF,33,11,24,2,3,0,0,0,1,0,0,3,9,0,0,0,0.125,0.222,0.125,0.347
Victor Caratini,MIL,C,29,8,24,2,7,0,0,0,1,0,0,3,5,0,0,1,0.292,0.393,0.292,0.685
Darin Ruf,SF,OF,36,9,23,1,6,2,0,0,3,0,0,4,9,0,0,0,0.261,0.37,0.348,0.718
Jarren Duran,BOS,OF,26,7,23,4,9,4,0,0,6,2,0,3,9,0,2,0,0.391,0.429,0.565,0.994
Cooper Hummel,SEA,OF,28,10,23,2,2,1,0,0,0,1,0,2,9,0,0,1,0.087,0.192,0.13,0.322
Michael Harris,ATL,OF,22,7,23,3,5,1,0,0,1,2,0,2,5,0,0,0,0.217,0.28,0.261,0.541
Yainer Diaz,HOU,DH,24,8,22,5,5,2,0,0,2,0,0,1,5,0,2,1,0.227,0.269,0.318,0.587
Terrin Vavra,BAL,2B,25,13,22,4,4,0,0,0,0,0,0,3,8,1,0,0,0.182,0.28,0.182,0.462
Raimel Tapia,BOS,OF,29,15,22,4,4,0,0,1,4,0,0,3,7,0,0,0,0.182,0.28,0.318,0.598
Curt Casali,CIN,C,34,9,22,1,5,0,0,0,0,0,0,2,5,0,0,0,0.227,0.292,0.227,0.519
Jose Siri,TB,OF,27,6,22,5,7,2,0,2,8,1,0,1,7,0,1,0,0.318,0.333,0.682,1.015
Willie Calhoun,NYY,OF,28,7,22,1,3,1,0,0,1,0,0,2,6,0,0,0,0.136,0.208,0.182,0.39
Jose Herrera,ARI,C,26,8,22,2,5,0,0,0,2,1,0,3,8,0,0,0,0.227,0.32,0.227,0.547
Austin Meadows,DET,OF,27,6,21,0,5,1,0,0,2,0,0,0,3,0,0,0,0.238,0.238,0.286,0.524
James McCann,BAL,C,32,7,21,2,3,1,0,1,2,0,0,0,4,0,0,0,0.143,0.143,0.333,0.476
Luis Campusano,SD,C,24,7,21,3,5,1,0,1,2,0,0,0,6,0,1,0,0.238,0.227,0.429,0.656
Brett Baty,NYM,3B,23,6,21,1,5,0,0,0,2,0,0,1,6,0,0,0,0.238,0.273,0.238,0.511
Bryce Johnson,SF,OF,27,10,20,2,3,0,0,1,1,0,0,0,10,0,0,0,0.15,0.15,0.3,0.45
Miles Mastrobuoni,CHC,2B,27,8,20,1,4,1,0,0,1,1,0,0,6,0,0,0,0.2,0.2,0.25,0.45
Will Benson,CIN,OF,24,8,20,0,1,0,0,0,0,0,0,1,12,0,0,0,0.05,0.095,0.05,0.145
Cristian Pache,PHI,OF,24,16,20,2,6,2,0,1,3,0,0,0,6,1,0,0,0.3,0.3,0.55,0.85
Luis Torrens,CHC,C,26,13,20,1,5,1,0,0,3,0,0,1,8,0,0,1,0.25,0.318,0.3,0.618
Vidal Brujan,TB,2B,25,11,20,5,5,0,0,0,3,0,1,0,7,0,0,1,0.25,0.286,0.25,0.536
Andrew Knizner,STL,C,28,7,20,2,3,0,0,0,0,0,0,1,7,1,0,0,0.15,0.19,0.15,0.34
Mitch Garver,TEX,DH,32,6,19,4,5,0,0,2,6,0,0,3,7,0,0,0,0.263,0.364,0.579,0.943
Hanser Alberto,CWS,2B,30,8,19,3,4,0,0,1,4,0,0,0,2,0,0,0,0.211,0.211,0.368,0.579
Kody Clemens,PHI,3B,26,8,19,2,2,0,0,1,1,0,0,1,7,0,0,0,0.105,0.15,0.263,0.413
Darick Hall,PHI,DH,27,6,18,1,4,1,0,0,1,0,0,1,2,0,0,0,0.222,0.263,0.278,0.541
Ryan Kreidler,DET,SS,25,11,18,2,2,0,0,0,0,0,0,0,7,0,0,0,0.111,0.111,0.111,0.222
Fernando Tatis,SD,OF,24,4,18,2,3,0,0,1,1,0,0,1,4,0,0,0,0.167,0.211,0.333,0.544
Taylor Motter,STL,SS,33,7,18,0,4,2,0,0,1,0,0,2,8,0,0,0,0.222,0.3,0.333,0.633
Cam Gallagher,CLE,C,30,8,18,0,2,1,0,0,2,0,0,2,6,0,0,1,0.111,0.238,0.167,0.405
Kyle Lewis,ARI,DH,27,6,18,1,3,1,0,1,2,0,0,0,9,0,0,0,0.167,0.167,0.389,0.556
Brian Serven,COL,C,27,8,18,0,3,1,0,0,1,0,0,0,6,0,0,0,0.167,0.167,0.222,0.389
Sam Haggerty,SEA,OF,28,8,17,1,2,0,0,0,0,3,0,2,2,0,0,0,0.118,0.211,0.118,0.329
Luke Maile,CIN,C,32,8,17,1,3,0,0,0,0,0,0,1,9,0,0,0,0.176,0.222,0.176,0.398
Tucupita Marcano,PIT,OF,23,9,17,1,5,2,1,0,1,0,0,2,3,0,0,0,0.294,0.368,0.529,0.897
Ryan McKenna,BAL,OF,26,14,17,2,3,1,0,0,2,1,0,1,7,0,1,1,0.176,0.25,0.235,0.485
Tyler Nevin,DET,3B,25,6,16,0,1,0,0,0,1,0,0,2,5,0,1,1,0.063,0.2,0.063,0.263
Nick Allen,OAK,SS,24,8,16,2,1,0,0,0,0,0,0,1,2,0,0,0,0.063,0.118,0.063,0.181
Josh Donaldson,NYY,3B,37,5,16,2,2,0,0,1,1,0,0,1,6,0,0,0,0.125,0.176,0.313,0.489
Tommy La Stella,SEA,DH,34,9,16,2,3,1,0,0,2,0,0,2,4,0,0,0,0.188,0.278,0.25,0.528
David Fletcher,LAA,2B,28,8,16,0,2,0,0,0,1,0,0,0,3,0,0,0,0.125,0.125,0.125,0.25
Edwin Rios,CHC,1B,29,9,16,2,1,0,0,1,2,0,0,4,7,0,0,0,0.063,0.25,0.25,0.5
Michael Chavis,WAS,2B,27,7,16,1,4,0,0,0,1,0,0,2,5,0,0,0,0.25,0.333,0.25,0.583
Matt Thaiss,LAA,C,27,7,16,4,2,0,0,1,2,0,0,2,7,0,0,2,0.125,0.3,0.313,0.613
Roberto Perez,SF,C,34,5,15,0,2,0,0,0,1,0,0,2,6,0,0,0,0.133,0.235,0.133,0.368
Oswald Peraza,NYY,SS,22,6,15,3,3,0,0,0,2,1,0,3,3,0,0,1,0.2,0.368,0.2,0.568
Brett Wisely,SF,2B,23,7,14,0,1,0,0,0,1,0,0,0,6,0,0,0,0.071,0.071,0.071,0.142
Omar Narvaez,NYM,C,31,5,14,1,4,0,0,0,2,0,0,2,2,0,1,0,0.286,0.353,0.286,0.639
Eli White,ATL,OF,28,6,14,1,1,0,0,0,0,0,0,2,7,0,0,1,0.071,0.235,0.071,0.306
Garrett Stubbs,PHI,C,29,5,14,2,2,0,0,0,0,0,0,1,5,0,0,1,0.143,0.25,0.143,0.393
Jorge Polanco,MIN,2B,29,3,13,2,5,1,0,1,2,0,0,0,2,0,0,0,0.385,0.385,0.692,1.077
Ildemaro Vargas,WAS,3B,31,7,12,2,1,0,0,0,0,0,0,1,1,0,0,0,0.083,0.154,0.083,0.237
Riley Adams,WAS,C,26,3,12,1,2,0,0,0,0,0,0,1,2,1,0,0,0.167,0.231,0.167,0.398
Brandon Dixon,SD,3B,31,5,12,1,2,0,0,0,0,0,0,0,8,0,0,0,0.167,0.167,0.167,0.334
Juan Yepez,STL,OF,25,3,12,1,4,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.583,0.916
Jordan Diaz,OAK,2B,22,4,11,3,4,1,0,1,3,0,0,0,2,0,0,0,0.364,0.364,0.727,1.091
Jose Caballero,SEA,2B,26,4,11,1,2,1,0,0,0,1,0,1,1,0,0,0,0.182,0.25,0.273,0.523
Luke Williams,LAD,OF,26,4,10,0,1,0,0,0,0,1,0,0,3,0,0,0,0.1,0.1,0.1,0.2
Tyler Wade,OAK,3B,28,8,10,1,1,0,0,0,0,3,0,2,6,0,0,0,0.1,0.25,0.1,0.35
David Dahl,SD,OF,29,4,9,1,1,0,0,1,1,0,0,0,2,0,0,0,0.111,0.111,0.444,0.555
Tyler Heineman,PIT,C,31,3,9,1,1,0,0,0,0,1,0,1,1,0,0,0,0.111,0.2,0.111,0.311
Bobby Dalbec,BOS,1B,27,4,9,0,2,0,0,0,0,1,0,2,5,0,0,0,0.222,0.364,0.222,0.586
Austin Wynns,LAD,C,32,4,8,0,1,1,0,0,2,0,0,1,4,0,0,0,0.125,0.222,0.25,0.472
Joey Wendle,MIA,3B,32,4,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.111,0,0.111
Matt Wallner,MIN,OF,25,6,8,1,0,0,0,0,0,0,1,1,4,0,0,2,0,0.273,0,0.273
Kyle Garlick,MIN,OF,31,3,7,1,1,0,0,1,1,0,0,0,2,0,0,0,0.143,0.143,0.571,0.714
Tyler Freeman,CLE,3B,23,2,7,1,2,1,0,0,0,0,0,1,0,0,0,0,0.286,0.375,0.429,0.804
Nick Pratto,KC,1B,24,2,7,0,1,0,0,0,0,0,0,0,4,0,0,0,0.143,0.143,0.143,0.286
Cesar Salazar,HOU,C,27,7,7,1,2,0,0,0,0,0,0,1,1,0,0,0,0.286,0.375,0.286,0.661
Tim Locastro,NYM,OF,30,11,7,3,0,0,0,0,0,4,0,0,2,0,0,3,0,0.3,0,0.3
Chadwick Tromp,ATL,C,28,2,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Ryan O'Hearn,BAL,1B,29,4,7,0,3,1,0,0,5,0,0,2,1,0,1,0,0.429,0.5,0.571,1.071
Sandy Leon,TEX,C,34,4,7,2,2,0,0,0,3,0,0,1,3,0,0,1,0.286,0.444,0.286,0.73
Chad Wallach,LAA,C,31,2,6,1,1,0,0,1,2,0,0,0,2,0,0,0,0.167,0.167,0.667,0.834
Jordan Luplow,TOR,OF,29,4,6,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0.143,0,0.143
Brett Sullivan,SD,C,29,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brett Phillips,LAA,OF,28,11,5,1,0,0,0,0,1,2,0,3,5,0,0,0,0,0.375,0,0.375
Matt Beaty,SF,1B,29,4,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4
Blake Perkins,MIL,OF,26,4,5,1,1,0,0,0,0,0,0,0,2,2,0,0,0.2,0.2,0.2,0.4
Enmanuel Valdez,BOS,2B,24,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1
Nelson Velazquez,CHC,OF,24,2,4,3,3,1,0,1,4,0,0,1,0,0,0,0,0.75,0.8,1.75,2.55
Kyle Stowers,BAL,OF,25,3,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0.333,0,0.333
Ehire Adrianza,ATL,OF,33,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Luis Urias,MIL,2B,25,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul DeJong,STL,SS,29,1,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0.75,0.75,1.5,2.25
Meibrys Viloria,CLE,C,26,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.25
Corey Dickerson,WAS,OF,33,2,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.25,0,0.25
Freddy Fermin,KC,C,27,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666
Nathan Lukes,TOR,OF,28,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.25
Anthony Bemboom,BAL,C,33,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333,0,0.333
Austin Wynns,SF,C,32,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Yonny Hernandez,LAD,3B,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
