Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Adley Rutschman,BAL,C,25,21,79,11,23,2,0,4,15,0,1,18,16,0,0,0,0.291,0.423,0.468,0.891
Jazz Chisholm,MIA,2B,25,21,79,7,17,1,1,3,8,7,1,6,33,1,0,0,0.215,0.271,0.367,0.638
Andres Gimenez,CLE,2B,24,21,78,18,20,5,0,1,5,6,0,6,16,1,0,3,0.256,0.333,0.359,0.692
Andrew Vaughn,CWS,OF,25,21,78,9,19,8,0,1,14,0,0,10,17,0,0,3,0.244,0.352,0.385,0.737
Jake Cronenworth,SD,2B,29,23,78,13,18,7,1,3,11,1,0,9,21,0,2,2,0.231,0.319,0.462,0.781
Austin Hays,BAL,OF,27,21,78,16,23,6,1,4,8,1,0,5,24,0,0,0,0.295,0.337,0.551,0.888
Patrick Wisdom,CHC,3B,31,20,78,17,20,4,1,9,18,0,0,5,28,0,0,1,0.256,0.31,0.679,0.989
Andrew Benintendi,CWS,OF,28,19,78,12,22,5,0,0,5,2,0,6,12,0,0,0,0.282,0.333,0.346,0.679
Mike Yastrzemski,SF,OF,32,20,78,12,21,5,0,4,11,0,2,3,19,0,0,0,0.269,0.296,0.487,0.783
Wil Myers,CIN,OF,32,21,78,8,17,2,0,2,9,1,1,7,29,0,0,0,0.218,0.282,0.321,0.603
Mookie Betts,LAD,OF,30,21,78,15,21,7,0,3,10,1,1,14,20,0,0,1,0.269,0.387,0.474,0.861
Aaron Judge,NYY,OF,30,22,78,16,19,2,0,6,11,2,0,13,31,0,2,0,0.244,0.344,0.5,0.844
C.J. Cron,COL,1B,33,20,77,11,19,3,0,5,10,0,0,4,25,0,0,0,0.247,0.284,0.481,0.765
J.T. Realmuto,PHI,C,32,20,77,8,19,6,1,2,7,4,1,3,24,0,1,1,0.247,0.28,0.429,0.709
Elvis Andrus,CWS,SS,34,22,77,7,16,3,0,0,6,3,1,5,17,0,1,2,0.208,0.271,0.247,0.518
Dansby Swanson,CHC,SS,29,20,77,16,23,3,0,0,5,3,1,15,23,0,0,0,0.299,0.413,0.338,0.751
Mauricio Dubon,HOU,OF,28,18,76,16,25,4,0,0,4,1,0,2,4,0,1,1,0.329,0.35,0.382,0.732
Kyle Tucker,HOU,OF,26,22,76,9,23,3,0,5,17,5,0,16,14,0,1,0,0.303,0.419,0.539,0.958
Anthony Rizzo,NYY,1B,33,21,76,11,24,4,0,5,11,0,1,9,15,0,1,4,0.316,0.411,0.566,0.977
Mike Trout,LAA,OF,31,20,76,15,25,8,0,5,13,0,0,13,24,0,0,2,0.329,0.44,0.632,1.072
Jurickson Profar,COL,OF,30,20,76,6,15,2,0,2,6,0,0,10,22,0,1,0,0.197,0.287,0.303,0.59
TJ Friedl,CIN,OF,27,22,76,7,23,4,1,2,9,1,0,7,18,3,0,0,0.303,0.361,0.461,0.822
Daulton Varsho,TOR,C,26,21,76,12,17,4,0,2,5,4,0,10,22,0,1,1,0.224,0.318,0.355,0.673
Vinnie Pasquantino,KC,1B,25,22,75,10,20,6,0,4,7,0,0,11,13,0,0,1,0.267,0.368,0.507,0.875
Yordan Alvarez,HOU,OF,25,20,75,14,19,3,0,6,27,0,0,11,25,0,1,3,0.253,0.367,0.533,0.9
Esteury Ruiz,OAK,OF,24,22,75,8,21,5,0,0,9,5,0,3,15,2,0,6,0.28,0.357,0.347,0.704
Josh Rojas,ARI,2B,28,19,75,12,22,6,0,0,10,2,0,6,18,0,1,0,0.293,0.341,0.373,0.714
Mark Canha,NYM,OF,34,22,75,12,18,6,0,2,8,2,0,10,16,0,2,2,0.24,0.337,0.4,0.737
Gio Urshela,LAA,3B,31,19,75,10,21,2,0,1,9,1,0,3,14,0,0,0,0.28,0.308,0.347,0.655
Brian Anderson,MIL,3B,29,22,75,15,21,4,0,5,18,0,1,11,24,0,2,0,0.28,0.364,0.533,0.897
Charlie Blackmon,COL,OF,36,21,75,10,21,5,0,1,4,0,1,11,11,0,0,4,0.28,0.4,0.387,0.787
Yandy Diaz,TB,3B,31,20,75,18,23,3,0,6,15,0,0,11,12,0,1,2,0.307,0.404,0.587,0.991
Ian Happ,CHC,OF,28,20,75,12,23,9,0,2,13,4,1,15,21,0,1,0,0.307,0.418,0.507,0.925
Garrett Cooper,MIA,1B,32,19,75,4,22,1,1,3,11,0,0,3,23,0,1,1,0.293,0.325,0.453,0.778
Byron Buxton,MIN,OF,29,20,74,13,18,3,1,3,7,0,0,8,29,0,1,0,0.243,0.313,0.432,0.745
Tyler Stephenson,CIN,C,26,22,74,8,20,4,0,0,9,0,0,8,25,0,0,3,0.27,0.365,0.324,0.689
Cedric Mullins,BAL,OF,28,21,74,9,18,3,1,2,15,9,0,15,15,1,0,0,0.243,0.371,0.392,0.763
Spencer Torkelson,DET,1B,23,20,74,8,16,4,0,2,10,1,0,5,18,0,3,0,0.216,0.256,0.351,0.607
James Outman,LAD,OF,25,23,74,14,23,2,3,7,19,2,1,10,24,0,0,1,0.311,0.4,0.703,1.103
Jordan Walker,STL,OF,20,20,73,8,20,3,0,2,11,2,0,3,20,0,0,2,0.274,0.321,0.397,0.718
MJ Melendez,KC,C,24,20,73,9,13,4,1,2,10,0,0,10,29,0,1,1,0.178,0.282,0.342,0.624
Myles Straw,CLE,OF,28,21,73,10,19,3,0,0,6,7,1,9,14,2,0,1,0.26,0.349,0.301,0.65
Trevor Larnach,MIN,OF,26,21,73,8,17,2,1,2,15,0,0,11,27,0,1,0,0.233,0.329,0.37,0.699
Amed Rosario,CLE,SS,27,17,73,12,19,3,2,1,4,4,0,5,19,0,1,0,0.26,0.304,0.397,0.701
Dominic Smith,WAS,1B,27,19,73,7,17,0,0,0,4,0,0,9,14,0,0,1,0.233,0.325,0.233,0.558
Aledmys Diaz,OAK,2B,32,21,73,6,11,2,0,1,5,0,0,5,17,0,0,1,0.151,0.215,0.219,0.434
Yonathan Daza,COL,OF,29,21,73,7,19,6,0,0,7,1,0,3,13,1,1,1,0.26,0.295,0.342,0.637
Luis Arraez,MIA,2B,26,20,72,8,32,5,1,1,9,1,1,9,4,0,0,0,0.444,0.506,0.583,1.089
Ha-Seong Kim,SD,SS,27,22,72,4,14,4,0,2,6,1,1,7,22,1,0,1,0.194,0.275,0.333,0.608
Gleyber Torres,NYY,2B,26,22,71,10,18,2,1,2,7,5,4,16,12,0,1,0,0.254,0.386,0.394,0.78
Jorge Soler,MIA,OF,31,20,71,10,19,8,0,5,10,0,0,9,17,0,0,1,0.268,0.358,0.592,0.95
Anthony Santander,BAL,OF,28,19,71,5,15,6,0,1,7,0,0,9,25,0,1,0,0.211,0.296,0.338,0.634
Starling Marte,NYM,OF,34,20,71,9,17,4,0,1,6,7,3,8,11,0,0,2,0.239,0.333,0.338,0.671
Max Muncy,LAD,3B,32,22,71,16,18,0,0,11,21,1,0,18,27,0,0,1,0.254,0.411,0.718,1.129
Tony Kemp,OAK,2B,31,19,70,7,11,2,0,1,6,2,0,9,10,0,1,0,0.157,0.25,0.229,0.479
Carlos Correa,MIN,SS,28,18,70,5,15,3,0,2,8,0,0,7,17,0,1,0,0.214,0.282,0.343,0.625
Bryan De La Cruz,MIA,OF,26,20,70,8,22,5,0,2,8,1,0,6,19,0,1,0,0.314,0.364,0.471,0.835
Keibert Ruiz,WAS,C,24,18,69,2,18,4,0,1,7,0,0,5,6,0,0,1,0.261,0.32,0.362,0.682
Tommy Edman,STL,2B,27,21,69,10,19,2,1,3,8,2,1,9,11,1,0,1,0.275,0.367,0.464,0.831
Trey Mancini,CHC,1B,31,18,69,6,16,1,0,2,12,0,0,2,22,0,1,1,0.232,0.26,0.333,0.593
Rowdy Tellez,MIL,1B,28,20,69,12,16,1,0,7,17,0,0,11,20,0,2,0,0.232,0.329,0.551,0.88
Michael Taylor,MIN,OF,32,21,69,7,16,2,0,4,8,1,0,2,27,1,0,2,0.232,0.274,0.435,0.709
Andrew McCutchen,PIT,OF,36,20,69,11,19,4,0,4,9,3,1,12,13,0,2,1,0.275,0.381,0.507,0.888
Willson Contreras,STL,C,30,21,69,11,19,6,0,2,10,2,0,10,15,0,0,1,0.275,0.375,0.449,0.824
Javier Baez,DET,SS,30,19,69,5,14,3,0,0,8,2,0,5,15,0,1,0,0.203,0.253,0.246,0.499
Jarred Kelenic,SEA,OF,23,20,69,10,22,6,0,6,13,3,0,7,20,0,1,0,0.319,0.377,0.667,1.044
Anthony Volpe,NYY,SS,21,22,69,8,13,1,1,2,4,8,0,13,25,0,0,0,0.188,0.317,0.319,0.636
CJ Abrams,WAS,SS,22,20,68,7,15,3,2,1,8,3,1,6,17,1,0,2,0.221,0.303,0.368,0.671
Ezequiel Tovar,COL,SS,21,20,68,6,13,4,0,0,5,0,0,4,22,0,0,1,0.191,0.247,0.25,0.497
Nolan Gorman,STL,2B,22,20,67,7,21,5,0,6,22,1,2,10,20,0,1,0,0.313,0.397,0.657,1.054
Brendan Donovan,STL,2B,26,18,67,11,17,3,0,2,5,2,0,5,15,0,1,1,0.254,0.311,0.388,0.699
Isaac Paredes,TB,3B,24,20,67,10,14,1,0,3,11,0,0,3,16,0,0,4,0.209,0.284,0.358,0.642
Cal Raleigh,SEA,C,26,19,67,8,15,5,0,2,12,0,0,8,22,0,0,0,0.224,0.307,0.388,0.695
Oswaldo Cabrera,NYY,OF,24,19,67,5,15,3,0,1,6,4,0,2,19,0,1,0,0.224,0.243,0.313,0.556
Jon Berti,MIA,2B,33,21,67,9,15,3,0,2,7,4,0,4,13,1,1,0,0.224,0.264,0.358,0.622
Brandon Drury,LAA,3B,30,20,67,5,12,3,0,1,5,0,1,2,23,0,2,1,0.179,0.208,0.269,0.477
Jean Segura,MIA,2B,33,19,67,6,13,1,0,0,1,2,1,3,13,1,0,0,0.194,0.229,0.209,0.438
Tyler O'Neill,STL,OF,27,20,67,10,17,3,0,2,5,1,0,5,24,0,0,0,0.254,0.306,0.388,0.694
Elias Diaz,COL,C,32,21,66,7,22,5,0,2,11,0,0,4,15,0,0,1,0.333,0.38,0.5,0.88
Brandon Marsh,PHI,OF,25,21,66,14,24,6,4,4,13,1,0,11,22,0,0,0,0.364,0.455,0.758,1.213
Masataka Yoshida,BOS,OF,29,17,65,11,15,2,0,3,15,2,0,8,9,0,1,2,0.231,0.329,0.4,0.729
J.D. Davis,SF,3B,29,19,65,7,19,2,0,4,13,0,0,3,19,0,1,2,0.292,0.338,0.508,0.846
